COMUNAS_ZONAS_DESCRIPCION,LATITUD_Y,LONGITUD_X,n
No registra,4.6721092575,-74.0595607195,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.595763917,-74.07076183,1
No registra,4.6721592313,-74.0535965309,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.595389615,-74.07101933,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.595336143,-74.07260719,1
No registra,4.6730505,-74.05438041,1
No registra,4.673100015,-74.120621,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.595122257,-74.07357279,1
No registra,4.6743589976,-74.0586156295,1
No registra,4.674652932,-74.04810437,1
No registra,4.623298309,-74.06184168,1
AEROPUERTO,4.690477357,-74.1337401,1
No registra,4.6221571861,-74.0746349432,1
No registra,4.597873824,-74.07669379,1
No registra,4.59744997,-74.0721103,1
No registra,4.597460145,-74.07215714,1
No registra,4.597492865,-74.07204057,1
No registra,4.5975201652,-74.0721585088,1
No registra,4.597535524,-74.07214785,1
No registra,4.59754399,-74.06927449,1
No registra,4.59759969,-74.06966949,1
No registra,4.597599808,-74.0769651,1
No registra,4.597608803,-74.06904832,1
No registra,4.597610384,-74.07087112,1
No registra,4.597685244,-74.07219077,1
No registra,4.5976901544,-74.0744462574,1
No registra,4.597692891,-74.06890488,1
No registra,4.597737832,-74.0743333743,1
No registra,4.597755214,-74.0707787,1
No registra,4.59778914,-74.06886197,1
No registra,4.597792645,-74.06396586,1
No registra,4.597800665,-74.06964413,1
No registra,4.5978407044,-74.06912,1
No registra,4.597433928,-74.07215858,1
No registra,4.5974143413,-74.0744060648,1
No registra,4.597404,-74.07214641,1
No registra,4.597096173,-74.0698165343,1
No registra,4.596920666,-74.06969626,1
No registra,4.5969302525,-74.0713731838,1
No registra,4.5969411054,-74.0713078425,1
No registra,4.5969428469,-74.0712444219,1
No registra,4.59697942,-74.07133246,1
No registra,4.5970213128,-74.0712265832,1
No registra,4.5970223153,-74.0696748577,1
No registra,4.5970604844,-74.0712819987,1
No registra,4.59714825,-74.06984087,1
No registra,4.597358685,-74.07580247,1
No registra,4.597154093,-74.0689334,1
No registra,4.597171917,-74.07146121,1
No registra,4.5971900368,-74.077905,1
No registra,4.597204,-74.07728697,1
No registra,4.597225389,-74.06977678,1
No registra,4.597316291,-74.07081965,1
No registra,4.597321638,-74.07210494,1
No registra,4.597331448,-74.0734965251,1
No registra,4.597867938,-74.06896961,1
No registra,4.597889092,-74.07562643,1
No registra,4.596722756,-74.07273794,1
No registra,4.597925492,-74.06910605,1
No registra,4.598498012,-74.07002354,1
No registra,4.598508706,-74.06765247,1
No registra,4.598604955,-74.07026494,1
No registra,4.5987072331,-74.0734996133,1
No registra,4.5987287966,-74.0738300714,1
No registra,4.5987608795,-74.068690959,1
No registra,4.598776063,-74.06842495,1
No registra,4.598779021,-74.08004914,1
No registra,4.5987939482,-74.0798891627,1
No registra,4.598904395,-74.07463694,1
No registra,4.599076932,-74.07473578,1
No registra,4.599183917,-74.07077129,1
No registra,4.599195488,-74.07111024,1
No registra,4.599203835,-74.07105351,1
No registra,4.599209316,-74.07065461,1
No registra,4.5992100397,-74.0747956667,1
No registra,4.599215814,-74.07488254,1
No registra,4.59922001,-74.07066266,1
No registra,4.5992879984,-74.168977,1
No registra,4.5984186803,-74.0728472865,1
No registra,4.5983907541,-74.0700740264,1
No registra,4.598262737,-74.06824256,1
No registra,4.5981212867,-74.067246,1
No registra,4.597930899,-74.0692800925,1
No registra,4.597936104,-74.10600807,1
No registra,4.5979410399,-74.0695596598,1
No registra,4.598048851,-74.0693369,1
No registra,4.5980521613,-74.0697595224,1
No registra,4.598092284,-74.07550503,1
No registra,4.598103751,-74.07614125,1
No registra,4.598105825,-74.06956239,1
No registra,4.59812514,-74.07559408,1
No registra,4.5982582474,-74.0731219683,1
No registra,4.598141181,-74.07545997,1
No registra,4.598155794,-74.06963731,1
